Diputado,sexo,nacimiento2,edad,estadocivil,religion,Distrito (id),Fuerza,Distrito(nombre),Inicia mandato,Finaliza mandato,Bloque,Twitter,JuroPor,JuramentoEspecial,PosicionFrenteAlAborto,Fuente,Comentarios,,,
"Morales, Mariana Elizabet",M,7/2/1975,43,Casada,Católica,86,otros,Santiago del Estero,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=13,,,,
"Moreau, Cecilia",M,12/5/1976,42,Soltera,Católica,06,pais,Buenos Aires,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@CECILIAMOREAU,"Dios, la Patria y los Santos Evangelios",,A Favor,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Moreau, Leopoldo Raul Guido",V,5/11/1946,71,Casado,Católica,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@MoreauLeopoldo,la Constitución Nacional ,,A Favor,https://www.pagina12.com.ar/diario/elpais/1-16708-2003-02-18.html,https://twitter.com/AhoraEsCuandoFm/status/969165125402943488?s=19,,,
"Mosqueda, Juan",V,,,No contesta,NO CONTESTA,22,pj,Chaco,10/12/2017,09/12/2021,JUSTICIALISTA,@JuanMosqueda_ar,la Constitución Nacional ,,En Contra,https://www.clarin.com/politica/aborto-diputados-oponen-llevan-leve-ventaja_0_ByjcR1MYM.html ,,,,
"Moyano, Juan Facundo",V,25/12/1984,33,Soltero,Católica,06,pais,Buenos Aires,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@Facundo_Moyano,Dios y la Patria,Por los trabajadores argentinos y la justicia social,A Favor,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,El autor de la nota dice que Moyano le aclaró que no sabe cómo vota,,,
"Muñoz, Rosa Rosario",M,2/4/1970,48,Soltera,Católica,26,pais,Chubut,10/12/2017,09/12/2021,TRABAJO Y DIGNIDAD,@RosaRosario06,Dios y la Patria,,En Contra,http://www.diariojornada.com.ar/207010/provincia/el_aborto_hoy_no_es_un_tema_prioritario/,,,,
"Najul, Claudia",M,14/4/1962,56,Casada,Cristiana,50,cambiemos,Mendoza,10/12/2017,09/12/2021,UCR,@ClauNaj,La Patria,,No confirmado,https://losandes.com.ar/article/view?slug=la-mitad-de-los-diputados-mendocinos-dice-que-votara-en-contra-del-aborto-legal,,,,
"Nanni, Miguel",V,5/6/1977,41,Separado,Católica,66,cambiemos,Salta,10/12/2015,09/12/2019,UCR,@NanniMiguel,"Dios, la Patria y los Santos Evangelios",,No confirmado,https://www.lagacetasalta.com.ar/nota/99895/actualidad/debate-aborto-especulacion-gobierno-o-respuesta-demanda-social-genuina.html,,,,
"Navarro, Graciela",M,26/12/1958,59,En convivencia,NO CONTESTA,86,otros,Santiago del Estero,10/12/2015,09/12/2019,FRENTE CIVICO POR SANTIAGO,@graciela_navarr,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=13,,,,
"Nazario, Adriana Monica",M,1/3/1962,56,Divorciada,Católica,14,pais,Córdoba,10/12/2015,09/12/2019,CORDOBA TRABAJO Y PRODUCCION,@NazarioOk,,,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=137,,,,
"Neder, Estela Mary",M,12/12/1958,59,Casada,Católica,86,otros,Santiago del Estero,10/12/2015,09/12/2019,FRENTE CIVICO POR SANTIAGO,,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.elliberal.com.ar/noticia/401744/mayoria-legisladores-santiaguenos-votara-contra-despenalizar-aborto,,,,
"Negri, Mario Raul",V,2/6/1954,64,Casado,Católica,14,cambiemos,Córdoba,10/12/2015,09/12/2019,UCR,@marioraulnegri,"Dios, la Patria y los Santos Evangelios",,A Favor,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,"ojo con Negri, no está tomada pocisión según http://www.diarioalfil.com.ar/2018/02/26/95614/",,,
"Nuñez, Jose Carlos",V,11/12/1974,43,En convivencia,Católica,82,cambiemos,Santa Fe,10/12/2015,09/12/2019,PRO,@josenunezjurado,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.pagina12.com.ar/99297-apoyos-y-condenas,,,,
"Ocaña, Maria Graciela",M,16/9/1960,57,Casada,Católica,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,PRO,@gracielaocana,la Constitución Nacional ,,A Favor,http://www.perfil.com/politica/el-aborto-se-metio-en-la-campana-y-altero-los-nervios-en-cambiemos-y-en-la-,http://www.riojalibre.com.ar/politica/90099-los-7-legisladores-riojanos-votarian-en-contra-del-proyecto/,,,
"Olivares, Hector Enrique",V,18/12/1958,59,Casado,Católica,46,cambiemos,La Rioja,10/12/2015,09/12/2019,UCR,@OlivaresHctor,La Patria,,En Contra,https://www.facebook.com/pg/Hector-Olivares-Diputado-Nacional-2015-310090155806871/posts/?ref=page_internal,No hizo declaraciones actualmente pero en junio de 2015 compartió un posteo en contra del aborto en su Facebook:,,,
"Oliveto Lago, Paula Mariana",M,10/2/1973,45,Casada,Católica,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,COALICION CIVICA,@pau_oliveto,"Dios, la Patria y los Santos Evangelios",,No confirmado,http://www.parlamentario.com/noticia-107802.html,,,,
"Olmedo, Alfredo Horacio",V,12/5/1965,53,Casado,Cristiana,66,cambiemos,Salta,10/12/2015,09/12/2019,SALTA SOMOS TODOS,@diputadoolmedo,"Dios, la Patria y los Santos Evangelios","Por una Argentina sin drogas, para que vuelva la cultura del trabajo y el respeto, y por el honor de mi padre y de mi madre",En Contra,https://www.eltribuno.com/salta/nota/2018-2-24-1-30-15-casi-todos-los-diputados-saltenos-contra-la-despenalizacion-del-aborto,,,,
"Orellana, Jose Fernando",V,13/5/1964,54,Casado,NO CONTESTA,90,pj,Tucumán,10/12/2015,09/12/2019,JUSTICIALISTA POR TUCUMAN,,"Dios, la Patria y los Santos Evangelios","Por Dios, por la Patria, por Tucumán, por Juan Domingo Perón y Evita Perón",En Contra,http://www.parlamentario.com/noticia-107852.html,Orellana se pronunció en contra en un programa de televisión de Tucumán,,,
"Passo, Marcela Fabiana",M,27/9/1976,41,Casada,Católica,06,pais,Buenos Aires,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@passomarcela,Dios y la Patria,,En Contra,https://www.clarin.com/politica/aborto-diputados-oponen-llevan-leve-ventaja_0_ByjcR1MYM.html ,,,,
"Pastori, Luis Mario",V,13/3/1953,65,Casado,Católica,54,cambiemos,Misiones,10/12/2017,09/12/2021,UCR,@luispastori,"Dios, la Patria y los Santos Evangelios",,En Contra,https://twitter.com/republica99/status/968088684221419520,,,,
"Pastoriza, Mirta Ameliana",M,5/7/1937,80,Viuda,Atea,86,otros,Santiago del Estero,10/12/2015,09/12/2019,FRENTE CIVICO POR SANTIAGO,@mirtapastoriza,Dios y la Patria,,No confirmado,,,,,
"Peñaloza Marianetti, Maria Florencia",M,29/3/1984,34,Soltera,Católica,70,otros,San Juan,10/12/2015,09/12/2019,SOMOS SAN JUAN,@Flopenaloza1,,,En Contra,https://www.tiempodesanjuan.com/politica/2018/2/23/juan-unnime-diputados-nacionales-contra-aborto-207118.html,,,,
"Pereyra, Juan Manuel",V,25/11/1943,74,Casado,Católica,14,otros,Córdoba,10/12/2015,09/12/2019,CONCERTACION FORJA,@JuanPereyraCba,"Dios, la Patria y los Santos Evangelios",Por seguir trabajando y defendiendo el proyecto nacional y popular,En Contra,http://www.lavoz.com.ar/politica/el-no-al-aborto-es-mayoria-entre-congresistas-cordobeses,,,,
"Perez, Martin Alejandro",V,9/10/1958,59,Divorciado,Católica,94,pais,Tierra del Fuego,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@MartinPerezTDF,Dios y la Patria,,A Favor,https://twitter.com/MartinPerezTDF/status/971744990136360960,dudoso,,,
"Perez, Raul Joaquin",V,6/5/1980,38,En pareja,Católica,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@Raul__Perez,Dios y la Patria,,A Favor,http://www.revistaanfibia.com/cronica/bebito-aborto-congreso/,,,,
"Pertile, Elda",M,,,Casada,Católica,22,pj,Chaco,10/12/2017,09/12/2021,JUSTICIALISTA,@eldapertile,"Dios, la Patria y los Santos Evangelios",,En Contra,https://twitter.com/MartinPerezTDF/status/971744990136360960,,,,
"Petri, Luis Alfonso",V,1/4/1977,41,Soltero,Católica,50,cambiemos,Mendoza,10/12/2017,09/12/2021,UCR,@luispetri,"Dios, la Patria y los Santos Evangelios",,En Contra,https://losandes.com.ar/article/view?slug=la-mitad-de-los-diputados-mendocinos-dice-que-votara-en-contra-del-aborto-legal,,,,
"Piccolomini, Maria Carla",M,28/2/1980,38,Casada,Católica,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,PRO,@mpiccolomini,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.clarin.com/politica/aborto-diputados-oponen-llevan-leve-ventaja_0_ByjcR1MYM.html,,,,
"Pietragalla Corti, Horacio",V,11/3/1976,42,No contesta,NO CONTESTA,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@pietragallahora,La Patria,,A Favor,http://www.abortolegal.com.ar/proyecto-de-ley-presentado-por-la-campana/,,,,
"Pitiot, Carla Betina",M,7/6/1973,45,Casada,Católica,02,pais,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@CarlabPitiot,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.lanacion.com.ar/2111851-macri-y-la-mayoria-de-los-ministros-en-contra-de-la-despenalizacion,,,,
"Polledo, Carmen",M,14/11/1952,65,Casada,Católica,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,PRO,@carmenpolledo,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.diarioveloz.com/notas/182219-la-legalizacion-del-aborto-todavia-no-reune-mayoria-y-peligra-la-sesion-especial-del-8-marzo,,,,
"Pretto, Pedro Javier",V,20/9/1965,52,Casado,Católica,14,cambiemos,Córdoba,10/12/2015,09/12/2019,PRO,@javierpretto,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=13,,,,
"Quetglas, Fabio Jose",V,6/5/1965,53,Casado,Atea,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,UCR,@fabiojquetglas,la Constitución Nacional ,,A Favor,https://m.facebook.com/story.php?story_fbid=1996087767312718&id=1829796227275207,,,,
"Rach Quiroga, Analia",M,19/3/1984,34,Soltera,NO CONTESTA,22,fpv,Chaco,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@analiarach,"Dios, la Patria y los Santos Evangelios",,A Favor,https://m.facebook.com/story.php?story_fbid=2003443969981986&id=1449372392055816,Marchó a favor del Aborto en Chaco,,,
"Ramon, Jose Luis",V,29/4/1964,54,Casado,NO CONTESTA,50,otros,Mendoza,10/12/2017,09/12/2021,PARTIDO INTRANSIGENTE,@jlramonar1,"Dios, la Patria y los Santos Evangelios",,A Favor,http://www.radionacional.com.ar/ramon-no-avala-el-consumo-reglamentado-de-drogas-y-esta-a-favor-de-la-despenalizacion-del-aborto/,,,,
"Ramos, Alejandro",V,8/2/1975,43,Casado,Católica,82,otros,Santa Fe,10/12/2015,09/12/2019,PRIMERO ARGENTINA,@gestionaleramos,Dios y la Patria,,A Favor,https://twitter.com/gsued/status/1004440999337381889,,,,
"Rauschenberger, Ariel",V,23/4/1966,52,Casado,Católica,42,pj,La Pampa,10/12/2017,09/12/2021,JUSTICIALISTA,@RauschenbergerA,"Dios, la Patria y los Santos Evangelios",,No confirmado,http://www.eldiariodelapampa.com.ar/index.php/112-portada/cuater/40565-el-aborto-interpela-a-legisladores-y-agita-las-redes-sociales,,,,
"Raverta, Maria Fernanda",M,25/11/1976,41,Soltera,Atea,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@FerRaverta,La Patria,"Por María Inés Raverta, por Néstor Carlos Kirchner y por mis compañeros de militancia",A Favor,https://twitter.com/FerRaverta/status/965718604393132032,,,,
"Regidor Belledone, Estela Mercedes",M,24/3/1970,48,Soltera,Cristiana,18,cambiemos,Corrientes,10/12/2017,09/12/2021,UCR,@estelaregidorok,la Constitución Nacional ,,En Contra,https://www.ellitoral.com.ar/nota/2018-2-25-4-0-0-aborto-el-debate-que-se-viene-tiene-a-los-legisladores-con-posturas-a-favor-y-en-contra,,,,
"Reyes, Roxana Nahir",M,,,Casado/a,Católica,78,cambiemos,Santa Cruz,10/12/2017,09/12/2021,UCR,@Roxanahireyes,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.tiemposur.com.ar/nota/151832-aborto-legal-todo-el-bloque-cambiemos-votara-a-favor-de-las-dos-vidas,,,,
"Riccardo, Jose Luis",V,4/9/1961,56,Casado,Católica,74,cambiemos,San Luis,10/12/2017,09/12/2021,UCR,@joselriccardo,Dios y la Patria,,En Contra,http://beta.yoquierosaber.org/election/candidatos-a-gobernador-san-luis/jose-luis-riccardo-04091961,,,,
"Ricci, Nadia",M,,,Casado,Católica,78,cambiemos,Santa Cruz,10/12/2015,09/12/2019,UCR,@nadiariccisc,Dios y la Patria,,En Contra,https://www.tiemposur.com.ar/nota/151832-aborto-legal-todo-el-bloque-cambiemos-votara-a-favor-de-las-dos-vidas,https://twitter.com/nadiariccisc/status/1004059141428654080,,,
"Rista, Olga Maria",M,10/6/1956,61,Soltera,Católica,14,cambiemos,Córdoba,10/12/2015,09/12/2019,UCR,@olgamariarista,"Dios, la Patria y los Santos Evangelios",Por todo el pueblo argentino,A Favor,http://www.parlamentario.com/noticia-107486.html,,,,
"Asencio, Fernando",V,,,,,06,pj,Buenos Aires,25/05/2018,09/12/2019,FRENTE RENOVADOR,@Asenciofernando,"Dios, la Patria y los Santos Evangelios",Y por el pueblo del a matanza,No confirmado,,,Reemplaza al FALLECIDO ROBERTI,,
"Rodenas, Alejandra",M,26/9/1963,54,Casada,Católica,82,fpv,Santa Fe,10/12/2017,09/12/2021,NUEVO ESPACIO SANTAFESINO,@rodenasale,La Patria,,A Favor,https://www.lacapital.com.ar/la-ciudad/estaba-decidida-abortar-se-habiacutea-quedado-trabajo-y-teniacutea-deudas-n311382.html,,,,
"Rodriguez, Matias David",V,,,No contesta,NO CONTESTA,94,fpv,Tierra del Fuego,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@MatiasRodrigTDF,La Patria,"Por Néstor, Cristina y esta hermosa militancia que nos dejaron",A Favor,https://twitter.com/MatiasRodrigTDF/status/254354326103937024,,,,
"Rodriguez, Rodrigo Martin",V,,,No contesta,NO CONTESTA,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@rmrodra,La Patria,Por Néstor y Cristina,A Favor,http://www.diagonales.com/contenido/despenalizacin-del-aborto-conoc-qu-diputados-votaran-a-favor-en-contra-y-los-indecisos/7961,"No hay declaraciones públicas, pero en general lxs diputadxs de La Cámpora están a favor.",,,
"Roma, Carlos Gaston",V,29/1/1974,44,Soltero,Atea,94,cambiemos,Tierra del Fuego,10/12/2015,09/12/2019,PRO,@RomaGaston,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=13,,,,
"Romero, Jorge Antonio",V,17/2/1958,60,Casado,Católica,18,pj,Corrientes,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@jromero581,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.nuevamiradacorrientes.com/notas/x/201802/5133-Diputado-peronista-tambien-votara-en-contra-de-la-despenalizacion-del-aborto.html,,,,
"Rossi, Agustin Oscar",V,18/10/1959,58,Separado,Católica,82,fpv,Santa Fe,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@RossiAgustinOk,Dios y la Patria,,A Favor,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,https://twitter.com/learaduazzo/status/968076952522379264,,,
"Rosso, Victoria",M,,,No contesta,NO CONTESTA,74,otros,San Luis,10/12/2017,09/12/2021,UNIDAD JUSTICIALISTA,@vicky_rosso,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.clarin.com/politica/aborto-diputados-san-luis-impulsan-consulta-popular-decidir-legalizacion_0_rJJ-hNXOf.html,,,,
"Ruiz Aragon, Jose Arnaldo",V,14/1/1987,31,Casado,NO CONTESTA,18,fpv,Corrientes,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,,"Dios, la Patria y los Santos Evangelios","Por Néstor, por Cristina y por el proyecto nacional",A Favor,https://www.ellitoral.com.ar/nota/2018-2-25-4-0-0-aborto-el-debate-que-se-viene-tiene-a-los-legisladores-con-posturas-a-favor-y-en-contra,,,,
"Russo, Laura",M,1/11/1981,36,Casada,Budista,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@LauRussoS,La Patria,,A Favor,http://www.diagonales.com/contenido/despenalizacin-del-aborto-conoc-qu-diputados-votaran-a-favor-en-contra-y-los-indecisos/7961,,,,
"Saadi, Gustavo Arturo",V,2/8/1975,42,Soltero,Católica,10,pj,Catamarca,10/12/2017,09/12/2021,ELIJO CATAMARCA,@GustavoSaadi,"Dios, la Patria y los Santos Evangelios",,No confirmado,,,,,
"Sahad, Julio Enrique",V,1/7/1956,61,Casado,Católica,46,cambiemos,La Rioja,10/12/2017,09/12/2021,PRO,@SahadJulio,Dios y la Patria,,En Contra,http://www.riojalibre.com.ar/politica/90099-los-7-legisladores-riojanos-votarian-en-contra-del-proyecto/,,,,
"Salvarezza, Roberto",V,30/1/1952,66,Casado,Agnóstica,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@RCSalvarezza,La Patria,,A Favor,https://twitter.com/RCSalvarezza/status/965899351620046848,,,,
"Santillan, Walter Marcelo",V,8/10/1962,55,Soltero,NO CONTESTA,90,fpv,Tucumán,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@marcesantil,Dios y la Patria,"Por la memoria de mi padre, Atilio Santillán, por los 30.000 desaparecidos, por mis compañeros, y por Néstor y Cristina",A Favor,http://www.diagonales.com/contenido/despenalizacin-del-aborto-conoc-qu-diputados-votaran-a-favor-en-contra-y-los-indecisos/7961,,,,
"Sapag, Alma Chani",M,2/10/1952,65,Divorciada,Católica,58,otros,Neuquén,10/12/2017,09/12/2021,MOV POP NEUQUINO,@AlmaSapag,"Dios, la Patria y los Santos Evangelios",,En Contra,https://twitter.com/LMNeuquen/status/968443644586942464,,,,
"Scaglia, Gisela",M,22/10/1976,41,Soltera,Católica,82,cambiemos,Santa Fe,10/12/2017,09/12/2021,PRO,@GiScaglia,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.lacapital.com.ar/la-ciudad/la-mayoria-los-diputados-santafesinos-no-tiene-opinion-definida-el-aborto-n453837.html,,,,
"Schlereth, David Pablo",V,11/4/1970,48,Casado,Cristiana,58,cambiemos,Neuquén,10/12/2017,09/12/2021,PRO,@davidnqn2018,"Dios, la Patria y los Santos Evangelios",,En Contra,https://twitter.com/davidnqn2017/status/967026118237749248,,,,
"Schmidt Liermann, Cornelia",M,11/6/1963,54,Soltera,Católica,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,PRO,@CorneliaSL,Dios y la Patria,,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=13,,,,
"Scioli, Daniel",V,13/1/1957,61,En pareja,Católica,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@danielscioli,"Dios, la Patria y los Santos Evangelios",,No confirmado,"Daniel Scioli: ""En los países donde se despenalizó el aborto, bajó la mortalidad infantil""",https://www.infobae.com/politica/2018/03/15/daniel-scioli-de-ninguna-manera-planteo-otra-vez-el-sueno-de-ser-presidente/,,,
"Selva, Carlos Americo",V,3/5/1958,60,Casado,Católica,06,pais,Buenos Aires,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@CarlosASelva,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.portalunoargentina.com.ar/contenidosver.asp?id=27417&sid=13,,,,
"Sierra, Magdalena",M,25/6/1966,51,Casada,Católica,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@MSierraDiputada,"Dios, la Patria y los Santos Evangelios",,A Favor,https://twitter.com/MSierraDiputada/status/967528643223261189,,,,
"Siley, Vanesa",M,19/8/1984,33,Soltera,Católica,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@Vsiley,"Dios, la Patria y los Santos Evangelios",,A Favor,https://twitter.com/Vsiley/status/965603404067287041,,,,
"Snopek, Alejandro Francisco",V,25/2/1972,46,Divorciado,Católica,38,pais,Jujuy,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@guillermosnopek,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.jujuyalmomento.com/post/81519/aborto-legal-esto-votarian-los-diputados-jujenos.html,,,,
"Sola, Felipe Carlos",V,23/7/1950,67,En convivencia,Católica,06,pais,Buenos Aires,10/12/2017,09/12/2021,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@felipe_sola,"Dios, la Patria y los Santos Evangelios",,A Favor,https://twitter.com/felipe_sola/status/1004151155197440001?s=19,,,,
"Solanas, Julio Rodolfo",V,31/1/1953,65,Divorciado,NO CONTESTA,30,fpv,Entre Ríos,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@juliosolanas,Dios y la Patria,"Por mi pueblo entrerriano, por Perón, por Néstor, por Cristina y por mi hermano Raúl Patricio",A Favor,https://www.clarin.com/politica/aborto-diputados-oponen-llevan-leve-ventaja_0_ByjcR1MYM.html ,,,,
"Soraire, Mirta Alicia",M,25/3/1964,54,Divorciada,NO CONTESTA,90,fpv,Tucumán,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@diputadasoraire,Dios y la Patria,Por la memoria de Néstor y por Cristina,En Contra,https://twitter.com/diputadasoraire/status/973647693670244352?s=19,,,,
"Soria, Maria Emilia",M,20/7/1985,32,Casada,Católica,62,fpv,Río Negro,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@MaEmiliaSoria,"Dios, la Patria y los Santos Evangelios",,A Favor,https://twitter.com/MaEmiliaSoria/status/973679896361947137,,,,
"Stefani, Hector Antonio",V,,,Casado,NO CONTESTA,94,cambiemos,Tierra del Fuego,10/12/2017,09/12/2021,PRO,@Titostefani,La Patria,,No confirmado,http://www.sur54.com/stefani_sobre_la_despenalizacion_del_aborto_no_tengo_postura_aun_confirmo_el_diputado,,,,
"Suarez Lastra, Facundo",V,24/2/1954,64,En pareja,Agnóstica,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,UCR,@fsuarezlastra,la Constitución Nacional ,,A Favor,http://economiafeminita.com/feminindex/,,,,
"Taboada, Jorge",V,30/10/1962,55,Casado,Católica,26,pais,Chubut,10/12/2015,09/12/2019,CHUBUT SOMOS TODOS,@JJorgeotaboada,Dios y la Patria,"Por el general Perón, por la gloriosa CGT y la justicia social",En Contra,http://www.eldiariodemadryn.com/2018/03/los-chubutenses-menna-e-igon-apoyan-la-despenalizacion-del-aborto/,,,,
"Tailhade, Luis Rodolfo",V,18/8/1970,47,Casado,Cristiana,06,fpv,Buenos Aires,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@rodotailhade,"Dios, la Patria y los Santos Evangelios",,A Favor,http://www.letrap.com.ar/nota/2018-2-23-18-37-0--abortolegal-el-gobierno-juega-con-fuegos-artificiales-en-el-congreso,,,,
"Terada, Alicia",M,19/8/1952,65,Casada,Budista,22,cambiemos,Chaco,10/12/2017,09/12/2021,COALICION CIVICA,@TeradaAlicia,la Constitución Nacional ,,En Contra,http://www.diarionorte.com/article/68128/mas-diputados-chaquenos-expresan-desacuerdo-con-la-legalizacion-del-aborto-,,,,
"Tonelli, Pablo Gabriel",V,13/6/1954,63,Casado,Atea,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2015,09/12/2019,PRO,@PabloTonelli,La Patria,,En Contra,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Torello, Pablo",V,2/12/1959,58,Casado,Católica,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,PRO,@Pablo_Torello,"Dios, la Patria y los Santos Evangelios",,En Contra,"En el programa ""Mercado Sin Pulgas"" 15/3/18 se expresó en contra de la despenalización",,,,
"Tundis, Mirta",M,9/8/1956,61,Soltera,Católica,06,pais,Buenos Aires,10/12/2017,09/12/2021,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@mirtatundis,"Dios, la Patria y los Santos Evangelios",,A Favor,http://www.letrap.com.ar/nota/2018-2-23-18-37-0--abortolegal-el-gobierno-juega-con-fuegos-artificiales-en-el-congreso,,,,
"Urroz, Paula Marcela",M,22/5/1955,63,Casada,Católica,06,cambiemos,Buenos Aires,10/12/2015,09/12/2019,PRO,@UrrozPaula,Dios y la Patria,,En Contra,http://www.aica.org/23872-nueva-puja-de-la-cultura-vida-muerte-en-el-congreso.html,,,,
"Vallejos, Fernanda",M,9/3/1979,39,En convivencia,Católica,06,fpv,Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@fvallejoss,La Patria,,A Favor,https://www.laprimerapiedra.com.ar/2017/10/aborto-en-las-elecciones-legislativas-opinan-los-principales-candidatos/,,,,
"Vallone, Andres Alberto",V,21/12/1963,54,Casado,Católica,74,pj,San Luis,10/12/2015,09/12/2019,UNIDAD JUSTICIALISTA,@vallonejk,"Dios, la Patria y los Santos Evangelios",,En Contra,https://twitter.com/ValloneAndresSL/status/967431760928759809,,,,
"Vazquez, Juan Benedicto",V,20/10/1966,51,Soltero,Católica,78,fpv,Santa Cruz,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,,"Dios, la Patria y los Santos Evangelios",,No confirmado,,,,,
"Vera Gonzalez, Orieta Cecilia",M,23/5/1967,51,Casada,Católica,10,cambiemos,Catamarca,10/12/2015,09/12/2019,COALICION CIVICA,@orietavera,"Dios, la Patria y los Santos Evangelios",,En Contra,https://twitter.com/orietavera/status/969652888611016706,,,,
"Vigo, Alejandra Maria",M,22/9/1957,60,Casada,Cristiana,14,pj,Córdoba,10/12/2017,09/12/2021,CORDOBA FEDERAL,@alevigo,"Dios, la Patria y los Santos Evangelios",,En Contra,http://m.lavoz.com.ar/politica/cuidar-la-vida-desde-la-concepcion,"En algunos actos de campaña deslizo su adhesión a la ley, aunque muy timidamente. La contaria como a favor.",,,
"Villa, Natalia Soledad",M,15/4/1979,39,Soltera,Católica,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,PRO,@dipnataliavilla,La Patria,,En Contra,https://twitter.com/natuvilla/status/965725070764199937,,,,
