Diputado,sexo,nacimiento2,edad,estadocivil,religion,Distrito (id),Fuerza,Distrito(nombre),Inicia mandato,Finaliza mandato,Bloque,Twitter,JuroPor,JuramentoEspecial,PosicionFrenteAlAborto,Fuente,Comentarios,,,
"Burgos, Maria Gabriela",M,3/6/1971,47,Divorciada,Católica,38,cambiemos,Jujuy,10/12/2017,09/12/2021,UCR,@mabyburgos,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.jujuyalmomento.com/post/81519/aborto-legal-esto-votarian-los-diputados-jujenos.html,,,,
"Cabandie, Juan",V,20/3/1978,40,Soltero,NO CONTESTA,02,fpv,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,FRENTE PARA LA VICTORIA - PJ,@juancabandie,La Patria,,A Favor,http://www.lapoliticaonline.com/nota/64352/,,,,
"Caceres, Eduardo Augusto",V,30/1/1975,43,Divorciado,Católica,70,cambiemos,San Juan,10/12/2017,09/12/2021,PRO,@educace,Dios y la Patria,,A Favor,http://www.diagonales.com/contenido/despenalizacin-del-aborto-conoc-qu-diputados-votaran-a-favor-en-contra-y-los-indecisos/7961,,,,
"Camaño, Graciela",M,25/4/1953,65,Casada,Católica,06,pais,Buenos Aires,10/12/2015,09/12/2019,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,@dipGCamanio,"Dios, la Patria y los Santos Evangelios",,En Contra,https://www.infobae.com/politica/2018/03/10/despenalizacion-del-aborto-si-se-votara-hoy-la-ley-no-seria-aprobada-en-diputados/,http://www.revistaanfibia.com/cronica/bebito-aborto-congreso/,,,
"Campagnoli, Marcela",M,11/11/1957,60,Casada,Católica,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,COALICION CIVICA,@m_campagnoli,"Dios, la Patria y los Santos Evangelios",,En Contra,https://twitter.com/delta903fm/status/965562048301228033,,,,
"Campos, Javier",V,27/6/1958,59,Divorciado,Católica,06,cambiemos,Buenos Aires,10/12/2017,09/12/2021,COALICION CIVICA,,Dios y la Patria,,No confirmado,,,,,
"Cano, Jose Manuel",V,15/7/1965,52,Casado,Católica,90,cambiemos,Tucumán,10/12/2017,09/12/2021,UCR,@JCanoOK,"Dios, la Patria y los Santos Evangelios",,En Contra,http://www.lagaceta.com.ar/nota/748753/lgtv/tres-candidatos-rechazan-legalizacion-aborto.html,,,,
"Cantard, Albor Angel",V,6/8/1961,56,Separado,Agnóstica,82,cambiemos,Santa Fe,10/12/2017,09/12/2021,UCR,@NikyCantard,la Constitución Nacional ,,A Favor,https://www.airedesantafe.com.ar/noticias-regionales-santa-fe/cantard-despenalizacion-aborto/,"No hay opiniones publicas de el sobre el tema. Fue Rector de una Universidad Publica, quizas eso juege a favor, aunque ahora lo contaria como en contra.",,,
"Carambia, Antonio Jose",V,28/1/1982,36,Casado,Cristiana,78,cambiemos,Santa Cruz,10/12/2017,09/12/2021,PRO,,"Dios, la Patria y los Santos Evangelios",,A Favor,https://www.clarin.com/politica/aborto-diputados-oponen-llevan-leve-ventaja_0_ByjcR1MYM.html ,,,,
"Carmona, Guillermo Ramon",V,26/6/1967,50,Casado,Católica,50,fpv,Mendoza,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@grcarmonac,Dios y la Patria,Por la unidad del movimiento nacional y popular y la unidad de la Patria grande,A Favor,http://www.parlamentario.com/noticia-107828.html,CAMBIO,,,
"Carol, Analuz Ailen",M,30/5/1984,34,Soltera,NO CONTESTA,94,fpv,Tierra del Fuego,10/12/2015,09/12/2019,FRENTE PARA LA VICTORIA - PJ,@AnaluzCarol,La Patria,"Por Perón y por Evita, por Néstor y Cristina",A Favor,https://scontent.fsst1-1.fna.fbcdn.net/v/t1.0-9/28468043_10213634879445046_444455231150049880_n.jpg?oh=4d19e7457a7d4b5733d66e79cacbd135&oe=5B453B27,"Recibió amenazas por su posicionamiento y su compañera, ""denunció"" via redes sociales.",,,
"Carrio, Elisa Maria Avelina",M,26/1/1957,61,Divorciada,Católica,02,cambiemos,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,COALICION CIVICA,@elisacarrio,la Constitución Nacional ,,En Contra,https://www.lanacion.com.ar/2111850-la-legalizacion-del-aborto-altero-al-congreso-pero-todavia-no-reune-mayoria,,,,
"Carrizo, Ana Carla",M,6/8/1966,51,Casada,Atea,02,otros,Ciudad Autónoma de Buenos Aires,10/12/2017,09/12/2021,EVOLUCION RADICAL,@CarlaCarrizoAR,la Constitución Nacional ,,A Favor,https://www.infobae.com/politica/2018/02/23/el-debate-por-el-aborto-legal-un-congreso-dividido-entre-el-papa-y-el-reclamo-feminista/,,,,
